,BMI,,,FWD,,,EGGF,,,EGGP,,,TOD,,,STAI,,,LM,,,LFP,,,HFP,,,RAT,,,STDEGG,,,
areasNames,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,
'L_IP0_ROI',"6,327","0,849","0,399","0,239","2,484","0,016","8,435","0,109","0,914","1,382","-1,977","0,053","7,766","0,808","0,422","6,304","-0,764","0,448","3,452","0,943","0,350","6,450","-0,628","0,533","6,573","0,943","0,350","2,376","2,078","0,043","3,109","0,932","0,355","86,000"
'L_PFop_ROI',"3,009","1,384","0,171","8,652","-0,278","0,782","9,439","0,854","0,396","7,178","-0,431","0,668","7,929","-0,014","0,989","7,413","-0,250","0,804","7,258","-0,028","0,978","4,497","-1,075","0,287","3,603","-0,028","0,978","1,442","2,460","0,017","7,909","-0,967","0,337","87,000"
'L_PF_ROI',"8,003","-0,847","0,400","9,899","-0,358","0,722","7,667","-0,306","0,760","7,654","-0,618","0,539","8,185","0,187","0,852","5,378","-0,714","0,478","5,870","0,288","0,775","2,331","-1,660","0,103","2,517","0,288","0,775","4,329","1,421","0,162","6,497","0,642","0,523","88,000"
'L_V6A_ROI',"6,667","0,234","0,816","1,973","1,328","0,189","14,238","1,084","0,283","1,067","-1,853","0,069","7,787","-0,018","0,985","9,010","-0,683","0,497","5,850","0,308","0,759","7,205","0,054","0,957","6,806","0,308","0,759","4,589","1,036","0,305","10,683","-0,853","0,397","89,000"
'L_VMV1_ROI',"7,407","0,367","0,715","1,329","1,687","0,097","9,808","0,211","0,833","8,614","0,565","0,574","11,569","0,426","0,672","8,454","-0,554","0,582","7,205","0,004","0,996","7,055","0,251","0,803","6,718","0,004","0,996","6,138","-0,571","0,571","13,597","-0,577","0,566","90,000"
'L_VMV3_ROI',"6,356","0,609","0,545","0,339","2,159","0,035","12,273","0,735","0,465","5,135","-0,873","0,386","6,998","-0,241","0,811","7,435","-0,797","0,429","6,424","0,179","0,859","6,935","-0,451","0,654","6,367","0,179","0,859","3,276","1,610","0,114","7,023","0,211","0,834","91,000"
'L_V3CD_ROI',"5,932","0,814","0,419","2,473","1,043","0,301","8,610","0,144","0,886","4,587","-0,942","0,350","9,470","0,744","0,460","6,475","0,485","0,629","1,383","1,496","0,141","5,100","-1,161","0,251","5,319","1,496","0,141","3,500","2,912","0,005","4,024","0,920","0,361","92,000"
'L_VMV2_ROI',"3,910","0,916","0,363","2,063","1,307","0,196","3,441","1,566","0,122","4,983","-0,725","0,471","4,734","-0,760","0,450","7,792","-0,071","0,944","6,650","-0,657","0,514","3,625","-1,041","0,303","2,719","-0,657","0,514","6,653","0,661","0,511","6,798","-0,519","0,606","93,000"
'L_31a_ROI',"8,111","-0,124","0,901","8,032","-0,025","0,980","7,052","-0,297","0,768","5,732","0,813","0,419","8,206","0,159","0,874","7,223","0,505","0,616","7,719","-0,539","0,593","6,877","-0,479","0,634","7,707","-0,539","0,593","5,270","1,114","0,271","6,318","-1,231","0,223","94,000"
'L_VVC_ROI',"7,951","-0,429","0,669","1,342","1,836","0,071","4,387","-0,761","0,450","8,701","0,622","0,537","8,171","0,054","0,957","8,617","-0,261","0,795","7,218","-0,088","0,930","7,043","0,243","0,809","6,185","-0,088","0,930","2,486","0,973","0,335","9,996","-0,417","0,678","95,000"
'L_Ig_ROI',"3,523","0,965","0,338","0,065","2,548","0,013","11,674","0,539","0,592","5,687","-0,536","0,594","6,086","-0,462","0,646","7,241","0,206","0,837","2,755","0,990","0,327","5,133","-1,062","0,293","4,318","0,990","0,327","6,491","1,154","0,254","3,848","0,603","0,549","96,000"
'L_p10p_ROI',"8,544","0,571","0,570","7,839","0,273","0,786","5,820","-0,631","0,530","5,867","0,388","0,699","8,085","0,839","0,405","6,183","0,575","0,567","6,810","-0,701","0,486","7,210","-0,008","0,993","7,198","-0,701","0,486","7,025","0,782","0,438","6,601","-0,717","0,476","97,000"
'L_MBelt_ROI',"5,120","0,632","0,530","1,533","1,131","0,263","13,225","0,800","0,427","7,926","-0,050","0,960","4,415","-0,602","0,549","7,753","-0,137","0,891","11,461","-0,683","0,498","4,660","1,045","0,301","4,526","-0,683","0,498","5,437","1,013","0,316","5,619","0,440","0,661","98,000"
'L_LBelt_ROI',"5,754","0,386","0,701","1,965","1,013","0,315","8,055","0,011","0,992","6,627","-0,301","0,764","5,262","-0,453","0,652","2,842","1,100","0,276","12,294","-0,789","0,434","2,295","1,837","0,072","0,873","-0,789","0,434","3,138","2,453","0,018","7,687","0,022","0,982","99,000"
'L_A4_ROI',"4,453","0,724","0,472","3,459","0,923","0,359","6,264","-0,294","0,770","8,184","0,055","0,956","4,193","-0,865","0,391","5,010","1,219","0,228","8,521","-0,441","0,661","6,733","-0,818","0,417","7,510","-0,441","0,661","0,729","2,211","0,032","2,186","1,463","0,149","100,000"
'L_STSva_ROI',"8,237","-0,112","0,911","4,847","-1,134","0,261","9,752","0,695","0,489","6,012","1,047","0,299","8,689","-0,801","0,426","7,928","-0,054","0,957","10,448","-0,790","0,433","6,558","0,363","0,718","4,485","-0,790","0,433","5,564","-0,533","0,596","3,692","-1,180","0,243","101,000"
'R_V1_ROI',"1,614","1,877","0,065","2,279","0,909","0,367","3,336","-0,700","0,487","1,870","-1,810","0,075","5,386","-0,516","0,608","8,055","-0,104","0,918","8,817","-0,338","0,737","6,570","-0,960","0,342","5,661","-0,338","0,737","2,475","2,536","0,014","8,927","-0,088","0,930","102,000"
'R_MST_ROI',"6,735","-0,970","0,336","7,582","0,417","0,678","6,117","-0,796","0,429","2,150","1,910","0,061","1,954","-1,347","0,183","6,396","-0,521","0,604","1,725","-1,649","0,105","7,222","0,185","0,854","7,228","-1,649","0,105","4,030","0,995","0,325","7,947","0,006","0,995","103,000"
'R_V6_ROI',"5,815","0,942","0,350","8,490","-0,088","0,930","8,892","0,241","0,811","6,912","-0,409","0,684","5,461","-0,664","0,509","6,648","-0,698","0,488","7,219","-0,856","0,396","5,678","-0,720","0,475","4,469","-0,856","0,396","6,479","0,779","0,440","8,829","-0,238","0,813","104,000"
'R_V2_ROI',"2,352","2,058","0,044","0,830","1,885","0,064","2,678","-0,936","0,353","1,631","-1,974","0,053","4,269","-0,906","0,369","8,903","-0,340","0,735","10,870","-1,483","0,144","5,782","-1,428","0,160","4,743","-1,483","0,144","4,060","1,259","0,214","0,917","1,352","0,181","105,000"
'R_V3_ROI',"2,633","1,544","0,128","1,190","1,542","0,128","3,829","-0,572","0,570","2,285","-1,611","0,112","1,880","-1,435","0,156","8,664","-0,857","0,395","10,696","-0,963","0,340","6,778","-0,717","0,477","6,092","-0,963","0,340","4,037","1,573","0,122","1,762","0,964","0,339","106,000"
'R_V4_ROI',"9,647","-0,529","0,599","4,067","0,593","0,555","3,603","-0,586","0,560","4,493","-0,890","0,377","5,277","-0,505","0,616","8,952","-0,670","0,505","8,333","-0,419","0,677","7,183","-0,206","0,838","7,209","-0,419","0,677","5,327","1,049","0,299","8,901","-0,097","0,923","107,000"
'R_V8_ROI',"8,812","-0,349","0,728","0,295","2,261","0,027","6,486","-0,201","0,842","1,853","-1,715","0,091","14,396","1,677","0,099","7,819","-0,644","0,522","5,920","0,249","0,805","7,153","-0,342","0,733","7,209","0,249","0,805","2,987","1,694","0,096","4,186","0,529","0,598","108,000"
'R_4_ROI',"7,204","0,288","0,774","6,749","0,197","0,844","13,058","0,863","0,392","8,516","0,545","0,588","2,686","-1,330","0,189","7,747","0,000","1,000","7,669","-0,728","0,470","7,133","0,087","0,931","7,117","-0,728","0,470","0,728","2,641","0,011","15,404","-0,925","0,358","109,000"
'R_3b_ROI',"2,964","1,245","0,218","3,163","0,724","0,472","11,233","0,855","0,396","8,371","0,270","0,788","1,269","-2,153","0,035","6,944","0,378","0,707","7,437","-0,907","0,369","7,113","-0,510","0,612","5,859","-0,907","0,369","0,648","3,023","0,004","10,896","-0,372","0,711","110,000"
'R_FEF_ROI',"4,044","1,295","0,200","0,706","1,671","0,100","1,724","-1,052","0,297","4,869","-0,763","0,448","3,255","-0,850","0,399","5,915","0,369","0,713","7,399","-0,049","0,961","6,768","0,335","0,739","6,897","-0,049","0,961","2,007","2,192","0,033","1,395","1,225","0,225","111,000"
'R_PEF_ROI',"5,661","1,038","0,303","0,253","2,687","0,009","0,514","-2,486","0,016","3,208","-1,149","0,255","7,942","0,042","0,967","7,774","0,177","0,860","4,228","0,762","0,450","3,886","1,162","0,251","3,132","0,762","0,450","6,404","1,157","0,253","0,762","1,960","0,055","112,000"
'R_55b_ROI',"3,951","1,087","0,281","2,248","1,603","0,114","5,575","-0,354","0,724","6,883","-0,366","0,716","4,229","-0,960","0,341","7,179","0,138","0,890","6,268","0,246","0,807","6,859","0,193","0,848","6,005","0,246","0,807","3,763","1,522","0,134","8,426","-0,133","0,895","113,000"
'R_V3A_ROI',"3,580","1,612","0,112","7,286","0,082","0,935","6,035","-0,322","0,749","1,068","-2,173","0,034","2,643","-1,212","0,230","8,333","-0,276","0,784","10,645","-0,688","0,494","5,360","-1,029","0,309","4,831","-0,688","0,494","5,514","1,010","0,318","2,360","0,923","0,360","114,000"
'R_RSC_ROI',"10,070","-1,015","0,314","6,571","0,320","0,750","6,829","-0,339","0,736","7,713","0,237","0,814","9,213","0,547","0,586","7,667","-0,085","0,932","7,460","-0,297","0,768","6,954","0,235","0,815","5,999","-0,297","0,768","4,132","1,309","0,196","7,819","-1,641","0,106","115,000"
'R_POS2_ROI',"5,252","0,816","0,417","5,747","0,953","0,344","1,899","-1,360","0,179","7,418","-0,281","0,779","9,693","0,409","0,684","7,152","0,555","0,581","10,367","-0,933","0,355","7,257","-0,212","0,833","7,450","-0,933","0,355","7,637","0,298","0,767","4,918","0,888","0,378","116,000"
'R_V7_ROI',"7,282","0,266","0,792","9,598","-0,196","0,846","3,686","-0,755","0,453","3,292","-1,216","0,229","7,912","-0,004","0,997","4,308","0,839","0,405","7,976","-0,616","0,541","6,261","-0,700","0,487","5,102","-0,616","0,541","1,123","2,184","0,034","2,017","1,146","0,256","117,000"
'R_IPS1_ROI',"6,500","0,470","0,640","2,217","1,196","0,236","6,832","-0,809","0,422","8,626","0,308","0,759","8,062","0,017","0,986","7,736","-0,044","0,965","5,273","-1,148","0,256","6,374","-0,584","0,562","5,140","-1,148","0,256","0,201","2,646","0,01085","5,479","0,681","0,498","118,000"
'R_FFC_ROI',"8,824","-0,524","0,602","2,602","1,130","0,263","4,293","-0,739","0,463","7,162","-0,293","0,771","4,790","-0,556","0,580","5,652","0,607","0,546","8,730","-0,632","0,530","4,199","1,107","0,274","5,121","-0,632","0,530","0,294","3,152","0,00274","2,518","1,081","0,284","119,000"
'R_V3B_ROI',"7,197","0,268","0,790","1,147","1,337","0,186","17,528","1,072","0,288","7,162","-0,262","0,794","10,468","0,724","0,472","7,726","0,009","0,993","8,523","-0,299","0,766","6,624","-0,687","0,495","5,984","-0,299","0,766","2,550","2,078","0,043","7,938","0,000","1,000","120,000"
'R_LO2_ROI',"8,753","-0,202","0,840","3,495","1,136","0,260","3,890","-1,475","0,145","7,866","-0,040","0,968","8,672","-0,305","0,762","5,989","-0,461","0,647","5,808","0,597","0,553","6,533","-0,409","0,684","6,933","0,597","0,553","7,090","0,156","0,877","8,312","0,273","0,786","121,000"
'R_PIT_ROI',"8,880","-0,430","0,669","3,120","1,351","0,182","7,148","-0,341","0,734","8,140","0,161","0,872","8,135","-0,209","0,835","3,475","-1,410","0,164","6,879","0,454","0,652","6,795","0,343","0,733","7,083","0,454","0,652","2,681","1,243","0,220","7,506","-0,706","0,483","122,000"
'R_MT_ROI',"6,522","-1,875","0,066","4,504","0,619","0,538","1,228","-1,856","0,068","8,136","0,399","0,691","2,887","-1,384","0,171","7,815","-0,076","0,939","7,342","-0,504","0,617","3,904","1,087","0,282","4,873","-0,504","0,617","2,562","1,499","0,140","5,899","0,536","0,594","123,000"
'R_A1_ROI',"8,247","-0,102","0,919","2,190","0,962","0,340","7,264","-0,089","0,929","7,362","-0,183","0,855","4,061","-0,668","0,507","5,066","0,865","0,391","9,153","-0,435","0,666","6,665","0,377","0,708","5,439","-0,435","0,666","5,237","0,908","0,368","4,716","0,366","0,716","124,000"
'R_PSL_ROI',"8,083","-0,058","0,954","6,032","0,472","0,639","2,922","-1,292","0,201","7,693","0,427","0,671","7,813","-0,095","0,924","8,270","-0,541","0,591","7,122","-0,251","0,803","5,751","0,602","0,550","4,987","-0,251","0,803","4,050","1,186","0,241","4,930","1,055","0,296","125,000"
'R_SFL_ROI',"5,217","0,767","0,446","6,063","0,374","0,710","3,887","-1,060","0,293","6,084","-0,681","0,499","5,895","-0,427","0,671","4,789","-0,985","0,329","6,356","0,434","0,666","7,210","-0,011","0,992","7,046","0,434","0,666","1,647","2,017","0,049","6,402","0,615","0,541","126,000"
'R_PCV_ROI',"3,238","1,257","0,214","1,750","1,702","0,094","3,728","-1,682","0,098","6,820","-0,587","0,559","9,523","0,460","0,647","6,207","-0,543","0,589","7,076","0,411","0,683","6,722","0,421","0,676","6,450","0,411","0,683","1,691","2,163","0,035","8,388","0,597","0,553","127,000"
'R_STV_ROI',"7,833","0,062","0,951","1,376","1,704","0,094","0,419","-2,638","0,011","8,146","0,387","0,700","4,891","0,982","0,330","7,460","-0,211","0,833","4,951","0,921","0,361","2,869","1,342","0,186","2,328","0,921","0,361","4,933","0,884","0,381","2,261","1,472","0,146","128,000"
'R_7Pm_ROI',"2,218","1,564","0,123","7,028","0,233","0,817","0,372","-2,692","0,009","7,883","-0,138","0,891","8,572","0,163","0,871","7,500","0,192","0,849","7,614","-0,964","0,340","6,418","-0,561","0,577","7,020","-0,964","0,340","4,449","1,082","0,285","2,045","1,771","0,082","129,000"
'R_7m_ROI',"7,579","0,258","0,798","4,142","1,197","0,236","0,424","-2,125","0,038","7,987","-0,068","0,946","7,852","0,420","0,676","7,954","-0,356","0,723","6,966","0,111","0,912","6,864","0,268","0,790","4,720","0,111","0,912","7,535","0,326","0,746","1,453","1,683","0,097","130,000"
'R_POS1_ROI',"6,324","0,277","0,783","14,253","-0,493","0,624","8,914","0,211","0,833","4,653","-0,844","0,402","5,456","-0,464","0,645","7,599","-0,490","0,626","11,533","-1,648","0,106","6,579","-0,655","0,515","6,333","-1,648","0,106","6,678","-0,598","0,552","16,262","-1,359","0,179","131,000"
'R_23d_ROI',"10,114","-0,394","0,695","2,842","0,818","0,417","5,779","-0,489","0,626","7,787","0,715","0,477","5,649","-0,605","0,547","7,980","-0,416","0,679","11,104","-0,615","0,541","6,797","0,258","0,797","4,771","-0,615","0,541","4,625","0,990","0,327","7,557","0,362","0,718","132,000"
'R_v23ab_ROI',"10,438","-0,926","0,358","1,845","0,983","0,330","8,654","0,130","0,897","5,099","-0,590","0,557","8,359","1,110","0,272","6,246","-0,821","0,415","5,331","0,456","0,651","5,410","0,726","0,471","5,054","0,456","0,651","2,745","1,521","0,134","15,836","-1,259","0,213","133,000"
'R_d23ab_ROI',"6,056","-1,417","0,161","8,715","-0,346","0,730","5,688","-0,411","0,682","7,546","-0,189","0,851","6,764","1,081","0,284","7,779","-0,180","0,858","9,260","-0,719","0,475","7,251","-0,103","0,918","6,298","-0,719","0,475","1,150","1,987","0,052","7,799","-0,163","0,871","134,000"
'R_31pv_ROI',"3,819","-1,179","0,243","7,552","-0,377","0,707","5,786","-0,812","0,420","4,849","-1,137","0,260","7,278","0,912","0,365","7,230","-0,261","0,795","5,582","0,758","0,452","7,028","0,212","0,833","5,534","0,758","0,452","4,970","0,876","0,385","7,828","0,222","0,825","135,000"
'R_5m_ROI',"2,121","1,194","0,237","0,235","2,849","0,006","4,648","-1,068","0,290","6,672","-0,316","0,753","8,021","0,464","0,645","7,779","0,194","0,847","7,538","-0,193","0,848","7,146","-0,072","0,943","7,333","-0,193","0,848","0,695","2,209","0,032","6,021","0,511","0,611","136,000"
'R_5mv_ROI',"4,950","0,698","0,488","0,013","3,735","0,000","3,997","-1,359","0,179","7,344","-0,476","0,636","9,056","0,244","0,808","6,993","0,284","0,777","7,476","0,284","0,778","5,978","0,854","0,397","6,936","0,284","0,778","0,552","2,471","0,017","5,954","0,904","0,369","137,000"
'R_23c_ROI',"6,936","0,333","0,740","0,391","2,198","0,032","5,891","-0,460","0,647","6,608","-0,886","0,379","9,137","0,186","0,853","8,077","-0,387","0,700","4,625","0,653","0,517","5,492","0,787","0,435","5,316","0,653","0,517","3,919","0,831","0,410","5,335","0,694","0,491","138,000"
'R_24dd_ROI',"5,041","1,273","0,208","1,525","1,527","0,132","4,549","-0,574","0,568","7,774","0,538","0,592","1,139","-1,796","0,077","5,516","0,902","0,371","10,510","-0,859","0,395","7,214","-0,076","0,940","7,042","-0,859","0,395","1,727","2,145","0,037","5,861","0,545","0,588","139,000"
'R_24dv_ROI',"0,796","2,506","0,015","0,634","1,904","0,062","4,283","-0,630","0,531","6,263","-0,568","0,572","0,194","-2,494","0,015","1,329","2,619","0,011","8,256","-0,356","0,723","6,894","-0,536","0,594","6,426","-0,356","0,723","6,987","0,234","0,816","5,112","0,408","0,685","140,000"
'R_SCEF_ROI',"1,338","1,821","0,074","8,420","-0,132","0,895","2,134","-1,337","0,186","7,903","-0,013","0,990","0,711","-2,159","0,035","6,050","0,827","0,411","8,095","-0,291","0,772","6,337","-0,671","0,505","7,163","-0,291","0,772","5,222","0,975","0,334","3,570","0,980","0,331","141,000"
'R_6ma_ROI',"4,427","1,032","0,306","8,316","0,248","0,805","2,474","-1,970","0,053","6,576","-0,541","0,591","5,678","0,669","0,506","3,509","-1,222","0,227","3,847","1,718","0,092","7,148","-0,099","0,921","6,942","1,718","0,092","6,927","0,445","0,658","9,749","0,742","0,461","142,000"
'R_7Am_ROI',"3,509","0,980","0,331","5,077","0,562","0,576","2,880","-1,589","0,117","5,673","-0,621","0,537","1,698","-1,791","0,078","7,847","0,123","0,903","7,078","-0,847","0,401","6,142","-0,601","0,551","5,032","-0,847","0,401","0,549","2,237","0,030","0,994","3,936","0,000","143,000"
'R_7PL_ROI',"1,880","2,183","0,033","7,328","0,853","0,397","4,584","-1,643","0,105","7,730","-0,930","0,356","5,899","-0,614","0,542","7,528","0,530","0,598","8,539","0,737","0,465","2,666","-1,567","0,123","2,149","0,737","0,465","1,948","1,547","0,128","8,572","0,455","0,650","144,000"
'R_1_ROI',"7,979","0,017","0,986","3,409","1,231","0,223","4,131","-0,877","0,384","9,298","0,549","0,585","5,265","-0,939","0,352","3,236","1,324","0,191","4,744","-1,011","0,317","1,301","2,180","0,034","1,789","-1,011","0,317","0,330","2,789","0,007","5,761","0,433","0,667","145,000"
'R_2_ROI',"2,803","0,891","0,377","0,424","1,971","0,053","0,459","-2,520","0,014","8,294","0,368","0,714","5,533","-0,812","0,420","1,835","1,521","0,134","8,597","-0,546","0,587","7,113","-0,615","0,541","7,643","-0,546","0,587","1,283","1,633","0,109","0,741","3,098","0,003","146,000"
'R_3a_ROI',"7,812","0,759","0,451","6,556","0,383","0,703","7,936","0,021","0,983","9,082","1,013","0,315","3,588","-1,206","0,232","6,171","0,666","0,508","6,065","-0,476","0,636","6,185","-0,663","0,511","5,944","-0,476","0,636","1,953","2,370","0,022","8,850","-0,400","0,690","147,000"
'R_6d_ROI',"7,322","0,248","0,805","7,638","0,404","0,688","8,781","0,178","0,859","5,872","-0,612","0,543","1,203","-1,808","0,076","8,331","-0,831","0,409","7,275","0,122","0,903","6,167","-0,522","0,604","5,919","0,122","0,903","1,267","1,963","0,055","5,547","0,534","0,596","148,000"
'R_6mp_ROI',"0,621","2,177","0,033","5,198","0,737","0,464","6,939","-0,525","0,602","5,936","-0,804","0,424","0,944","-2,038","0,046","7,530","0,588","0,559","6,826","-0,563","0,576","7,217","-0,057","0,955","7,170","-0,563","0,576","2,181","1,465","0,149","7,290","0,641","0,524","149,000"
'R_6v_ROI',"4,865","0,666","0,508","4,183","1,366","0,177","3,976","-0,755","0,453","7,936","0,604","0,548","5,672","-1,108","0,272","8,272","-0,843","0,403","9,779","-0,774","0,442","4,674","0,757","0,452","2,686","-0,774","0,442","8,429","0,588","0,559","7,956","0,058","0,954","150,000"
'R_p24pr_ROI',"4,085","0,899","0,372","3,696","0,772","0,443","10,137","0,444","0,658","5,276","-0,886","0,379","6,828","-0,507","0,614","8,505","-0,744","0,460","9,436","-0,368","0,715","5,692","-1,153","0,254","7,710","-0,368","0,715","6,023","0,912","0,366","6,824","0,294","0,770","151,000"
'R_p32pr_ROI',"7,508","-0,264","0,793","5,909","-0,858","0,394","2,798","-2,721","0,008","6,351","-0,646","0,521","2,223","-1,311","0,195","7,936","-0,094","0,925","7,200","-0,008","0,994","6,640","-0,351","0,727","7,206","-0,008","0,994","7,246","-0,178","0,859","7,021","1,492","0,141","152,000"
'R_8BM_ROI',"6,917","0,424","0,673","7,251","0,370","0,712","1,271","-1,616","0,111","8,143","0,140","0,889","3,515","-0,930","0,356","7,544","0,056","0,956","6,910","-0,225","0,823","6,995","-0,188","0,852","7,057","-0,225","0,823","7,632","0,432","0,667","5,232","0,706","0,483","153,000"
'R_p32_ROI',"7,582","-0,550","0,584","7,624","0,408","0,685","6,890","-0,310","0,758","7,810","-0,223","0,825","4,222","1,213","0,230","6,611","0,327","0,745","6,242","-0,983","0,331","6,693","0,294","0,770","4,682","-0,983","0,331","4,956","1,021","0,312","7,288","0,260","0,796","154,000"
'R_10r_ROI',"7,810","-0,647","0,520","4,765","0,940","0,351","5,275","-0,745","0,459","6,307","-0,620","0,538","7,562","-0,449","0,655","7,203","0,224","0,824","7,108","0,053","0,958","2,631","1,318","0,193","1,114","0,053","0,958","6,415","0,528","0,600","7,912","-0,094","0,925","155,000"
'R_8Av_ROI',"7,663","0,056","0,956","1,659","2,302","0,025","1,388","-1,372","0,175","8,030","0,697","0,488","8,431","0,115","0,908","7,940","-0,161","0,873","6,715","-0,698","0,488","5,861","0,818","0,417","6,203","-0,698","0,488","5,951","0,705","0,484","6,675","0,177","0,860","156,000"
'R_8Ad_ROI',"8,351","0,121","0,904","0,597","3,041","0,003","7,836","-0,023","0,982","2,787","-1,834","0,071","7,834","-0,055","0,956","7,746","-0,124","0,901","5,365","0,676","0,502","1,197","2,231","0,030","1,364","0,676","0,502","4,512","0,703","0,485","7,754","0,045","0,964","157,000"
'R_9m_ROI',"6,489","-0,563","0,575","5,691","-0,700","0,486","7,751","-0,305","0,761","6,943","0,577","0,566","1,806","1,596","0,116","5,837","0,732","0,467","5,550","-1,220","0,228","7,053","0,168","0,867","5,379","-1,220","0,228","4,160","1,076","0,287","8,064","0,138","0,891","158,000"
'R_8BL_ROI',"8,228","-0,920","0,361","0,071","3,157","0,002","8,405","0,384","0,703","5,300","-0,694","0,491","5,811","-0,937","0,353","7,582","-0,150","0,882","3,797","0,961","0,341","3,178","1,425","0,160","2,699","0,961","0,341","2,226","1,830","0,073","7,800","0,046","0,963","159,000"
'R_10d_ROI',"5,605","-1,257","0,214","6,735","1,213","0,230","4,125","-1,460","0,149","8,289","-0,301","0,764","6,579","-0,586","0,560","5,459","0,730","0,468","4,480","-1,462","0,150","2,206","1,426","0,160","0,953","-1,462","0,150","1,130","2,755","0,008","8,010","0,582","0,563","160,000"
'R_44_ROI',"7,658","0,099","0,922","8,014","0,623","0,536","8,012","0,394","0,695","6,923","0,595","0,554","7,667","0,407","0,686","7,732","-0,013","0,990","4,118","0,896","0,375","7,204","-0,017","0,987","6,863","0,896","0,375","5,507","1,051","0,298","7,571","-1,067","0,290","161,000"
'R_6r_ROI',"3,976","0,935","0,354","8,434","0,487","0,628","8,137","0,129","0,898","8,102","0,145","0,885","8,682","-0,501","0,618","5,931","-1,018","0,313","6,227","0,593","0,556","7,027","0,163","0,872","6,116","0,593","0,556","2,408","1,807","0,077","7,146","-0,283","0,778","162,000"
'R_IFJa_ROI',"7,774","0,075","0,941","7,007","0,839","0,405","8,553","0,133","0,895","7,865","-0,143","0,886","5,731","-0,415","0,679","5,349","-1,021","0,311","2,279","1,719","0,092","5,796","-0,621","0,538","6,178","1,719","0,092","6,231","1,011","0,317","8,312","-0,145","0,885","163,000"
'R_IFSp_ROI',"7,964","-0,030","0,976","7,625","0,066","0,947","3,757","-0,732","0,467","8,653","0,837","0,406","10,540","1,258","0,213","5,145","-1,329","0,189","1,091","1,697","0,096","5,573","-0,848","0,401","6,278","1,697","0,096","2,731","1,951","0,057","11,617","-0,373","0,711","164,000"
'R_p9-46v_ROI',"6,891","0,302","0,764","5,233","0,503","0,617","6,147","-0,275","0,784","7,675","-0,086","0,932","8,446","1,495","0,140","8,427","-0,603","0,549","1,054","1,768","0,083","7,101","-0,423","0,674","7,676","1,768","0,083","1,080","2,538","0,014","9,775","-1,597","0,115","165,000"
'R_10v_ROI',"2,950","-1,370","0,176","5,715","-0,510","0,612","6,732","-0,400","0,690","7,920","-0,072","0,943","7,379","-0,261","0,795","6,949","-0,535","0,595","6,835","-0,385","0,702","1,570","1,551","0,127","1,079","-0,385","0,702","4,456","1,302","0,199","3,080","-1,015","0,314","166,000"
'R_10pp_ROI',"7,961","-0,057","0,955","6,845","-0,621","0,537","3,684","-1,031","0,307","5,270","-0,915","0,364","6,340","-0,506","0,615","6,809","0,166","0,868","8,240","-1,094","0,279","0,579","1,959","0,056","0,279","-1,094","0,279","1,116","1,965","0,055","8,082","0,094","0,926","167,000"
'R_6a_ROI',"4,395","0,806","0,423","2,896","1,013","0,315","2,148","-1,257","0,214","4,244","-0,977","0,333","6,595","-0,317","0,752","6,998","0,301","0,764","3,649","0,910","0,367","3,264","1,325","0,191","2,526","0,910","0,367","0,535","3,018","0,004","5,339","0,696","0,489","168,000"
'R_i6-8_ROI',"1,486","1,889","0,064","4,641","0,740","0,462","0,624","-2,087","0,041","6,634","-0,498","0,620","9,577","1,044","0,301","5,206","0,792","0,432","4,071","0,977","0,333","4,679","0,995","0,324","4,128","0,977","0,333","2,832","1,790","0,080","9,804","-0,459","0,648","169,000"
'R_s6-8_ROI',"7,509","0,090","0,929","1,555","1,530","0,131","0,732","-2,490","0,016","2,264","-1,481","0,144","7,510","-0,255","0,799","5,556","0,839","0,405","5,276","0,695","0,490","5,077","1,076","0,287","3,611","0,695","0,490","3,060","1,047","0,300","1,204","2,373","0,021","170,000"
'R_43_ROI',"7,063","0,165","0,870","2,017","0,949","0,346","19,066","1,506","0,137","8,242","0,672","0,504","11,618","1,246","0,218","7,439","-0,877","0,384","8,001","-0,186","0,854","6,636","-0,630","0,531","6,926","-0,186","0,854","4,918","1,029","0,309","18,847","-1,366","0,177","171,000"
'R_OP4_ROI',"4,303","1,071","0,288","6,543","0,275","0,784","7,896","1,862","0,067","7,958","0,183","0,855","4,176","-1,020","0,312","6,463","-0,728","0,470","8,082","-0,405","0,687","5,893","-0,635","0,528","5,501","-0,405","0,687","4,434","1,007","0,319","11,225","-0,504","0,616","172,000"
'R_OP1_ROI',"11,347","-0,569","0,572","0,303","1,983","0,052","9,035","2,360","0,021","5,656","-0,696","0,489","2,774","-1,142","0,258","6,187","-0,922","0,361","7,649","-0,089","0,930","7,075","0,171","0,865","7,182","-0,089","0,930","7,231","0,021","0,984","11,723","-0,765","0,447","173,000"
'R_OP2-3_ROI',"9,490","-1,094","0,278","0,161","2,100","0,040","6,801","-0,192","0,848","5,035","-0,850","0,399","4,907","-0,544","0,588","7,841","-0,201","0,841","4,301","0,567","0,573","4,045","1,140","0,260","4,860","0,567","0,573","5,269","1,048","0,300","9,192","-0,178","0,859","174,000"
