,BMI,,,FWD,,,EGGF,,,EGGP,,,TOD,,,STAI,,,LM,,,LFP,,,HFP,,,RAT,,,STDEGG,,,
areasNames,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,bf,t,p,
'L_SFL_ROI',"1,346","1,654","0,103","8,015","-0,017","0,986","0,248","-2,180","0,033","4,649","-0,789","0,433","8,171","0,314","0,754","7,596","0,093","0,926","9,328","-0,469","0,641","4,847","-0,967","0,338","7,353","-0,469","0,641","4,832","1,021","0,312","7,679","0,119","0,905","20,000"
'L_PCV_ROI',"7,469","0,419","0,677","2,120","1,642","0,106","1,864","-1,330","0,189","7,684","-0,287","0,775","10,545","0,736","0,465","5,366","-1,342","0,185","4,345","1,114","0,271","6,262","0,615","0,541","6,755","1,114","0,271","2,325","1,680","0,099","4,306","0,737","0,464","21,000"
'L_7Pm_ROI',"8,139","-0,154","0,878","5,675","0,679","0,500","0,448","-1,955","0,055","7,100","0,584","0,561","10,885","1,201","0,235","7,619","0,031","0,975","7,577","-0,313","0,755","7,197","0,104","0,918","6,351","-0,313","0,755","5,322","-0,582","0,563","2,061","1,196","0,236","22,000"
'L_7m_ROI',"7,494","0,211","0,834","7,262","2,492","0,015","7,157","0,507","0,614","6,047","-0,714","0,478","3,774","1,053","0,297","7,554","-0,293","0,771","6,100","-0,581","0,564","5,544","0,701","0,487","3,635","-0,581","0,564","7,080","0,490","0,626","7,348","-0,134","0,894","23,000"
'L_POS1_ROI',"7,994","-0,344","0,732","4,548","0,710","0,480","5,646","-0,465","0,643","7,925","-0,004","0,997","7,547","-0,095","0,924","7,604","0,083","0,934","7,530","-0,367","0,715","6,826","-0,295","0,769","6,855","-0,367","0,715","7,306","0,139","0,890","13,231","-1,042","0,302","24,000"
'L_23d_ROI',"4,062","0,994","0,324","3,740","0,952","0,345","3,639","-0,827","0,412","7,887","0,058","0,954","3,701","-1,056","0,295","7,276","0,176","0,861","5,836","0,274","0,785","7,188","0,017","0,987","6,731","0,274","0,785","1,520","2,334","0,024","7,263","0,218","0,828","25,000"
'L_v23ab_ROI',"9,867","-1,046","0,300","5,831","0,787","0,434","4,446","-0,915","0,364","4,142","-0,996","0,323","7,320","0,461","0,647","7,040","0,463","0,645","7,502","-0,325","0,746","4,090","1,011","0,317","2,918","-0,325","0,746","6,004","0,526","0,601","7,863","-0,680","0,499","26,000"
'L_d23ab_ROI',"15,146","-1,443","0,154","5,869","0,395","0,695","7,196","-0,149","0,882","7,422","-0,270","0,788","7,093","0,915","0,364","8,563","-0,296","0,769","8,906","-0,321","0,750","7,088","0,082","0,935","5,138","-0,321","0,750","2,757","1,677","0,100","8,189","-0,157","0,876","27,000"
'L_31pv_ROI',"7,804","0,157","0,876","1,763","1,580","0,119","8,788","0,314","0,754","4,693","-1,046","0,300","6,439","-0,480","0,633","8,045","-0,198","0,844","6,452","0,299","0,766","7,069","-0,366","0,716","6,967","0,299","0,766","2,665","1,705","0,094","8,597","-0,235","0,815","28,000"
'L_5m_ROI',"4,776","0,539","0,592","1,705","1,258","0,213","4,838","-1,052","0,297","6,958","-0,485","0,630","3,043","-1,131","0,262","7,752","-0,197","0,844","5,812","-1,035","0,306","6,501","-0,456","0,650","6,409","-1,035","0,306","2,245","1,662","0,103","4,751","1,372","0,175","29,000"
