areasNames,BMI,FWD,EGGF,EGGP,TOD,STAI,LM,LFP,HFP,RAT,STDEGG,areasNames
'L_V1_ROI',"1,14859295402891","1,81246301904546","9,84615075831914","1,48146924681397","10,8865145809531","8,91495536547239","8,49426795821259","6,82219306410608","5,61388578022252","1,49064983613553","8,75367568476781",A1
'L_V6_ROI',"1,94544643731039","0,625528291241338","7,22350773230939","7,08715255272656","3,71370153579502","5,10628054004673","10,1377314332297","5,67450471826136","4,18893331257741","7,42372873542734","0,749682779115059",A3
'L_V2_ROI',"1,78772401968886","1,58900651899173","6,50528319667452","1,71493450109351","6,60071893854728","8,22030718079079","9,65666402050633","7,30075124918618","6,35130466454309","2,46474325043951","5,27503772351971",A4
'L_V3_ROI',"2,92567750163297","2,03576137920783","10,3648726843911","3,42069583472902","3,30257548945916","6,73396457058916","11,7621703198045","7,21839888518806","7,20057917844125","4,1032228966288","5,01633106804926",A5
'L_V4_ROI',"6,55424251779349","0,813351014973899","2,44290532501542","3,25670422989096","2,80400268562504","7,73553567582335","3,60595858475595","6,93767487772872","7,02874827765145","6,40526770402644","3,28961324272152",A6
'L_V8_ROI',"8,07783904939494","1,7683256848079","3,76483370089267","5,62187878218071","11,1241257022883","7,35613023490634","6,03031752759713","5,31856514536773","4,62007975100231","7,6882903317688","6,46372415788608",A7
'L_4_ROI',"8,02279308584112","5,05575661389071","8,74270888570472","7,85797714208653","1,11024978072578","6,68050432703026","7,44085890789397","6,03600229402186","6,96079269055737","1,48830658011224","9,12752802421659",A8
'L_3b_ROI',"8,50946050359182","5,95666248420387","11,2921551326589","8,12762674889333","0,594259947089419","7,82601208157542","8,43251836880095","7,18688245486305","7,33155055472443","0,578632091727648","11,2677323554225",A9
'L_FEF_ROI',"8,10202216281418","7,80492279763865","7,76896938572126","6,02356117624066","7,97318800648187","4,65017135774785","7,10465138010071","3,36037306635673","2,70351994503022","4,9120106927713","6,52452682099018",A10
'L_55b_ROI',"7,85460122929031","5,54907222604638","0,665307919513801","5,66241502321734","0,188483373261396","4,33584903117459","7,25706372477873","7,20978410837399","7,13961464924406","3,42372135905804","1,76228721388086",A12
'L_V3A_ROI',"2,14269796489504","4,19461757191532","4,00853259443041","1,08437783504186","8,40678743674456","8,0010235768901","7,22732146976591","7,22165432328834","7,1386600037515","3,59446688707053","1,09796883950499",A13
'L_RSC_ROI',"11,4727187472134","3,43026675425733","8,60692994551393","7,41627857010289","8,61452239109097","6,12570177063146","9,1285561012702","7,00840126419096","6,13398205950892","3,55434817146183","14,9916622552936",A14
'L_POS2_ROI',"8,95111036538751","4,78031326020314","2,75365945379781","8,09964432004159","8,66002016488852","5,94597795847677","8,44377555285","1,99151383337489","0,79885322391172","5,40650927025879","7,60071133631253",A15
'L_V7_ROI',"5,25182724914459","1,31594521419379","4,85781698474927","2,45104915763595","8,55114450814987","7,69491903443395","6,91206349211769","7,23398400575404","6,63021480239156","1,7688931829474","3,13517276175978",A16
'L_IPS1_ROI',"3,28799975410076","0,07972687289741","5,77915761087221","4,63676837909737","8,97457156575396","6,73427891694643","6,37009062294948","6,93109455043084","6,75494913668371","1,09270389193394","7,9094215881323",A17
'L_FFC_ROI',"7,61019298480246","0,156928575054496","9,37641068648685","3,29723114057522","2,06839373582276","8,36610950137236","7,64595304157428","4,57492427650058","5,77161117333431","0,238674579846062","2,00071941354165",A18
'L_V3B_ROI',"6,864622200479","0,454536897952256","2,49722776754098","2,13657964769621","7,31443486696338","6,2924944636043","4,54671292828792","7,18019942435736","6,91982508337186","4,90500773969278","0,410052209576664",A19
'L_A1_ROI',"3,44882954337906","1,50680826497541","10,030870163762","6,47531005795334","5,12133806774852","5,25069009758717","10,3097434095281","7,15882447291708","6,70111225821974","2,00749275438856","2,50699151229149",A24
'L_PSL_ROI',"4,99180982433726","3,05760965304351","8,47957934429694","7,22637250958034","5,15363907220048","6,3377946807711","6,30646084186812","4,42871342667765","5,2624832666333","1,84649875979367","9,51421227492091",A25
'L_SFL_ROI',"1,34649480577095","8,01506112426581","0,247585664131425","4,64911032729758","8,17116924743856","7,59578135613866","9,32771065851808","4,84734463441456","7,35341660627883","4,83173171159133","7,67948006815056",A26
'L_PCV_ROI',"7,46914316980382","2,12035040997987","1,86412929700408","7,68443786551149","10,5449700924535","5,3664288800206","4,34491973432498","6,26167262762866","6,75525715365528","2,32517023745726","4,30617412692477",A27
'L_7Pm_ROI',"8,13913408091173","5,6748132044256","0,448291652225567","7,10040557536346","10,8848488833025","7,61931277937668","7,57664693423695","7,19706431823342","6,35126979001938","5,32200216932897","2,06116455470644",A29
'L_7m_ROI',"7,4938279986311","7,26207947192249","7,15695646721685","6,04730651222707","3,7740738169853","7,55434291989381","6,10029398731062","5,54403599849336","3,63544239204074","7,07974488225545","7,34837529445363",A30
'L_POS1_ROI',"7,99352303819944","4,54849044849343","5,64611278183785","7,92516016631005","7,54744561719047","7,60439455870786","7,5303488479149","6,82578204141444","6,8554568473723","7,30559928573598","13,2307630624881",A31
'L_23d_ROI',"4,06211554386801","3,74027548655492","3,63884006520597","7,88699288057725","3,70123818417952","7,27644960771598","5,83566804282154","7,18794845431672","6,7308122678883","1,52038897520704","7,26312768639692",A32
'L_v23ab_ROI',"9,86701796719943","5,83064911916467","4,44586493212248","4,14170975874278","7,31985649402235","7,0395672817622","7,50200261936838","4,08971602946378","2,91805433847563","6,00447447004472","7,86304734173578",A33
'L_d23ab_ROI',"15,1463381001215","5,86888589195068","7,19607358469766","7,42171880149896","7,09250680331491","8,56289367289243","8,90562492145862","7,0877144785614","5,13774031426161","2,7569183037567","8,18858882546478",A34
'L_31pv_ROI',"7,80379447322093","1,76312964485243","8,7875739732419","4,69294617585501","6,43853580927984","8,0445090575592","6,45154843924856","7,06889083014603","6,96724165170842","2,66492652354208","8,59727562377808",A35
'L_5m_ROI',"4,77626992633073","1,70525156236524","4,83832090690445","6,95761025270483","3,04295931878965","7,75157934922174","5,81239246254766","6,50133336855968","6,4085953369437","2,24483756876181","4,75132074619229",A36
'L_5mv_ROI',"8,25213450770165","1,76399949451253","6,96265650420721","8,03904253285116","7,62737585275152","7,74456991215446","5,37819266183526","5,42052306523538","6,1688365680003","1,40424180963107","5,6808576061152",A37
'L_23c_ROI',"2,79639774723964","1,61000634123076","5,33863930043795","8,00199734499849","1,75841841957188","7,68862327599572","6,99762644280397","5,62639673785414","6,3985071042843","0,072716931674817","8,0866156187886",A38
'L_5L_ROI',"3,15749373182286","0,594419213090635","5,07224910493928","4,5312224239581","6,44837520128256","7,64907826843811","8,18186117766041","7,05262656237878","7,10945339193248","4,96392512048688","3,59097137473571",A39
'L_24dd_ROI',"8,02193115466875","1,86572729015541","3,42479258690189","7,96557863519135","3,72673436780505","6,91867200300178","6,8897311446054","7,18741174896641","7,20849636375646","5,13187204090236","6,42518051890321",A40
'L_24dv_ROI',"4,09098962105735","8,20728915303318","6,54233899376769","7,77278344506006","8,32956410962138","8,99677148354478","6,18889637503377","6,66482117409025","6,81393912869425","7,08753389220333","6,18219830060594",A41
'L_7AL_ROI',"7,10253018614383","6,76654934014503","6,19625077552491","6,04562939065361","4,46238468265015","7,57112310667929","7,56299342520014","3,42492319005192","2,20806486486774","1,08131837343892","2,94564229781346",A42
'L_SCEF_ROI',"0,988802523113864","9,23146813275017","1,13124446149328","7,16161611585136","0,625341907026883","3,56035096910862","8,44350672802447","7,23362624670178","7,03997006778013","3,67495137783982","7,6413249093877",A43
'L_6ma_ROI',"2,82799054603132","5,63433508983043","7,15053047798204","7,78039085481733","7,28306745366196","6,82739701945579","7,39636150052603","7,21081251758571","7,07183157102899","0,809121762321778","1,74437734744376",A44
'L_7Am_ROI',"7,36460407036677","3,37075892517996","1,07533060617747","7,8713609893307","9,15488913874801","4,79268983591688","5,18475231306947","6,06089056989915","6,43953673946876","4,33421660911538","3,88270187758875",A45
'L_7PL_ROI',"4,80980439598768","3,83083844036983","1,76302040466546","5,53371851553416","4,15341095173695","7,72713689860115","7,25601661080426","6,48319422199946","6,23393822486738","2,32159109333076","7,53229401085098",A46
'L_7PC_ROI',"4,64840674096623","3,63131036717616","4,96940986599018","7,31359470513102","6,09096763992162","5,33266092968984","2,19568921745946","3,64930179358766","1,80391068330268","1,1342399727432","5,3513549092431",A47
